side	eta	eta_r	phi	dphi	depth	det	rbx	sector	rm	pixel	qie	adc	rm_fi	fi_ch	let_code	crate	block_coupler	htr	fpga	htr_fi	dcc_sl	spigo	dcc	fedid	QIEId	index	oSLBmap	htr_ch	index	oSLB_link	oSLBbit	CSL_i	TwinMux	TwinMux_link	TwinMux_bit	ring	HO label	TwinMux label	old HO label
1	6	6	72	1	4	HO	HO1P02	1	2	7	1	1	2	1	L	3	3.06	3	bot	2	10	3	1	724	101092	1656	16	4	772	1	13	172	YB+1_S1	6	13	1	S2F02_CR03_HTR03_Slot-t	RPC_YB+1_S1_Fib6_HO_CR03_HTR03_Slot-t	HO_S1_Hn2
1	6	6	71	1	4	HO	HO1P02	1	2	3	1	2	2	2	S	3	3.06	3	bot	2	10	3	1	724	101092	1655	16	5	773	1	14	172	YB+1_S1	6	14	1	S2F02_CR03_HTR03_Slot-t	RPC_YB+1_S1_Fib6_HO_CR03_HTR03_Slot-t	HO_S1_Hn2
1	5	5	72	1	4	HO	HO1P02	1	2	4	1	4	3	0	M	3	3.07	3	bot	3	10	3	1	724	101092	1584	16	6	774	1	16	172	YB+1_S1	6	16	1	S2F02_CR03_HTR03_Slot-t	RPC_YB+1_S1_Fib6_HO_CR03_HTR03_Slot-t	HO_S1_Hn2
1	5	5	71	1	4	HO	HO1P02	1	2	8	1	5	3	1	T	3	3.07	3	bot	3	10	3	1	724	101092	1583	16	7	775	1	17	172	YB+1_S1	6	17	1	S2F02_CR03_HTR03_Slot-t	RPC_YB+1_S1_Fib6_HO_CR03_HTR03_Slot-t	HO_S1_Hn2
1	5	5	1	1	4	HO	HO1P02	1	2	1	1	3	3	2	F	3	3.07	3	bot	3	10	3	1	724	101092	1513	16	8	776	1	15	172	YB+1_S1	6	15	1	S2F02_CR03_HTR03_Slot-t	RPC_YB+1_S1_Fib6_HO_CR03_HTR03_Slot-t	HO_S1_Hn2
1	7	7	3	1	4	HO	HO1P02	1	4	9	2	4	5	0	K	3	3.01	3	top	1	10	2	1	724	100925	1659	16	24	792	1	1	172	YB+1_S1	6	1	1	S2F02_CR03_HTR03_Slot-t	RPC_YB+1_S1_Fib6_HO_CR03_HTR03_Slot-t	HO_S1_Hn2
1	7	7	2	1	4	HO	HO1P02	1	4	13	2	5	5	1	R	3	3.01	3	top	1	10	2	1	724	100925	1658	16	25	793	1	2	172	YB+1_S1	6	2	1	S2F02_CR03_HTR03_Slot-t	RPC_YB+1_S1_Fib6_HO_CR03_HTR03_Slot-t	HO_S1_Hn2
1	7	7	4	1	4	HO	HO1P02	1	4	5	2	3	5	2	D	3	3.01	3	top	1	10	2	1	724	100925	1660	16	26	794	1	0	172	YB+1_S1	6	0	1	S2F02_CR03_HTR03_Slot-t	RPC_YB+1_S1_Fib6_HO_CR03_HTR03_Slot-t	HO_S1_Hn2
1	6	6	4	1	4	HO	HO1P02	1	4	12	1	0	2	0	E	3	3.02	3	top	2	10	2	1	724	100923	1588	16	27	795	1	3	172	YB+1_S1	6	3	1	S2F02_CR03_HTR03_Slot-t	RPC_YB+1_S1_Fib6_HO_CR03_HTR03_Slot-t	HO_S1_Hn2
1	6	6	3	1	4	HO	HO1P02	1	4	7	1	1	2	1	L	3	3.02	3	top	2	10	2	1	724	100923	1587	16	28	796	1	4	172	YB+1_S1	6	4	1	S2F02_CR03_HTR03_Slot-t	RPC_YB+1_S1_Fib6_HO_CR03_HTR03_Slot-t	HO_S1_Hn2
1	6	6	2	1	4	HO	HO1P02	1	4	3	1	2	2	2	S	3	3.02	3	top	2	10	2	1	724	100923	1586	16	29	797	1	5	172	YB+1_S1	6	5	1	S2F02_CR03_HTR03_Slot-t	RPC_YB+1_S1_Fib6_HO_CR03_HTR03_Slot-t	HO_S1_Hn2
1	5	5	3	1	4	HO	HO1P02	1	4	4	1	4	3	0	M	3	3.03	3	top	3	10	2	1	724	100923	1515	16	30	798	1	7	172	YB+1_S1	6	7	1	S2F02_CR03_HTR03_Slot-t	RPC_YB+1_S1_Fib6_HO_CR03_HTR03_Slot-t	HO_S1_Hn2
1	5	5	2	1	4	HO	HO1P02	1	4	8	1	5	3	1	T	3	3.03	3	top	3	10	2	1	724	100923	1514	16	31	799	1	8	172	YB+1_S1	6	8	1	S2F02_CR03_HTR03_Slot-t	RPC_YB+1_S1_Fib6_HO_CR03_HTR03_Slot-t	HO_S1_Hn2
1	5	5	4	1	4	HO	HO1P02	1	4	1	1	3	3	2	F	3	3.03	3	top	3	10	2	1	724	100923	1516	16	32	800	1	6	172	YB+1_S1	6	6	1	S2F02_CR03_HTR03_Slot-t	RPC_YB+1_S1_Fib6_HO_CR03_HTR03_Slot-t	HO_S1_Hn2
-1	7	-7	72	1	4	HO	HO1M02	1	2	9	2	4	5	0	K	3	6.05	4	bot	1	10	5	1	724	100214	720	17	0	816	1	10	175	YB-1_S1	6	10	-1	S2F02_CR03_HTR04_Slot-t	RPC_YB-1_S1_Fib6_HO_CR03_HTR04_Slot-t	HO_S1_Hn3
-1	7	-7	71	1	4	HO	HO1M02	1	2	13	2	5	5	1	R	3	6.05	4	bot	1	10	5	1	724	100214	719	17	1	817	1	11	175	YB-1_S1	6	11	-1	S2F02_CR03_HTR04_Slot-t	RPC_YB-1_S1_Fib6_HO_CR03_HTR04_Slot-t	HO_S1_Hn3
-1	7	-7	1	1	4	HO	HO1M02	1	2	5	2	3	5	2	D	3	6.05	4	bot	1	10	5	1	724	100214	649	17	2	818	1	9	175	YB-1_S1	6	9	-1	S2F02_CR03_HTR04_Slot-t	RPC_YB-1_S1_Fib6_HO_CR03_HTR04_Slot-t	HO_S1_Hn3
-1	6	-6	1	1	4	HO	HO1M02	1	2	12	1	0	2	0	E	3	6.06	4	bot	2	10	5	1	724	100013	721	17	3	819	1	12	175	YB-1_S1	6	12	-1	S2F02_CR03_HTR04_Slot-t	RPC_YB-1_S1_Fib6_HO_CR03_HTR04_Slot-t	HO_S1_Hn3
-1	6	-6	72	1	4	HO	HO1M02	1	2	7	1	1	2	1	L	3	6.06	4	bot	2	10	5	1	724	100013	792	17	4	820	1	13	175	YB-1_S1	6	13	-1	S2F02_CR03_HTR04_Slot-t	RPC_YB-1_S1_Fib6_HO_CR03_HTR04_Slot-t	HO_S1_Hn3
-1	6	-6	71	1	4	HO	HO1M02	1	2	3	1	2	2	2	S	3	6.06	4	bot	2	10	5	1	724	100013	791	17	5	821	1	14	175	YB-1_S1	6	14	-1	S2F02_CR03_HTR04_Slot-t	RPC_YB-1_S1_Fib6_HO_CR03_HTR04_Slot-t	HO_S1_Hn3
-1	5	-5	72	1	4	HO	HO1M02	1	2	4	1	4	3	0	M	3	6.07	4	bot	3	10	5	1	724	100013	864	17	6	822	1	16	175	YB-1_S1	6	16	-1	S2F02_CR03_HTR04_Slot-t	RPC_YB-1_S1_Fib6_HO_CR03_HTR04_Slot-t	HO_S1_Hn3
-1	5	-5	71	1	4	HO	HO1M02	1	2	8	1	5	3	1	T	3	6.07	4	bot	3	10	5	1	724	100013	863	17	7	823	1	17	175	YB-1_S1	6	17	-1	S2F02_CR03_HTR04_Slot-t	RPC_YB-1_S1_Fib6_HO_CR03_HTR04_Slot-t	HO_S1_Hn3
-1	5	-5	1	1	4	HO	HO1M02	1	2	1	1	3	3	2	F	3	6.07	4	bot	3	10	5	1	724	100013	793	17	8	824	1	15	175	YB-1_S1	6	15	-1	S2F02_CR03_HTR04_Slot-t	RPC_YB-1_S1_Fib6_HO_CR03_HTR04_Slot-t	HO_S1_Hn3
-1	7	-7	3	1	4	HO	HO1M02	1	4	9	2	4	5	0	K	3	6.01	4	top	1	10	4	1	724	101208	651	17	24	840	1	1	175	YB-1_S1	6	1	-1	S2F02_CR03_HTR04_Slot-t	RPC_YB-1_S1_Fib6_HO_CR03_HTR04_Slot-t	HO_S1_Hn3
-1	7	-7	2	1	4	HO	HO1M02	1	4	13	2	5	5	1	R	3	6.01	4	top	1	10	4	1	724	101208	650	17	25	841	1	2	175	YB-1_S1	6	2	-1	S2F02_CR03_HTR04_Slot-t	RPC_YB-1_S1_Fib6_HO_CR03_HTR04_Slot-t	HO_S1_Hn3
-1	7	-7	4	1	4	HO	HO1M02	1	4	5	2	3	5	2	D	3	6.01	4	top	1	10	4	1	724	101208	652	17	26	842	1	0	175	YB-1_S1	6	0	-1	S2F02_CR03_HTR04_Slot-t	RPC_YB-1_S1_Fib6_HO_CR03_HTR04_Slot-t	HO_S1_Hn3
-1	6	-6	4	1	4	HO	HO1M02	1	4	12	1	0	2	0	E	3	6.02	4	top	2	10	4	1	724	101204	724	17	27	843	1	3	175	YB-1_S1	6	3	-1	S2F02_CR03_HTR04_Slot-t	RPC_YB-1_S1_Fib6_HO_CR03_HTR04_Slot-t	HO_S1_Hn3
-1	6	-6	3	1	4	HO	HO1M02	1	4	7	1	1	2	1	L	3	6.02	4	top	2	10	4	1	724	101204	723	17	28	844	1	4	175	YB-1_S1	6	4	-1	S2F02_CR03_HTR04_Slot-t	RPC_YB-1_S1_Fib6_HO_CR03_HTR04_Slot-t	HO_S1_Hn3
-1	6	-6	2	1	4	HO	HO1M02	1	4	3	1	2	2	2	S	3	6.02	4	top	2	10	4	1	724	101204	722	17	29	845	1	5	175	YB-1_S1	6	5	-1	S2F02_CR03_HTR04_Slot-t	RPC_YB-1_S1_Fib6_HO_CR03_HTR04_Slot-t	HO_S1_Hn3
-1	5	-5	3	1	4	HO	HO1M02	1	4	4	1	4	3	0	M	3	6.03	4	top	3	10	4	1	724	101204	795	17	30	846	1	7	175	YB-1_S1	6	7	-1	S2F02_CR03_HTR04_Slot-t	RPC_YB-1_S1_Fib6_HO_CR03_HTR04_Slot-t	HO_S1_Hn3
-1	5	-5	2	1	4	HO	HO1M02	1	4	8	1	5	3	1	T	3	6.03	4	top	3	10	4	1	724	101204	794	17	31	847	1	8	175	YB-1_S1	6	8	-1	S2F02_CR03_HTR04_Slot-t	RPC_YB-1_S1_Fib6_HO_CR03_HTR04_Slot-t	HO_S1_Hn3
-1	5	-5	4	1	4	HO	HO1M02	1	4	1	1	3	3	2	F	3	6.03	4	top	3	10	4	1	724	101204	796	17	32	848	1	6	175	YB-1_S1	6	6	-1	S2F02_CR03_HTR04_Slot-t	RPC_YB-1_S1_Fib6_HO_CR03_HTR04_Slot-t	HO_S1_Hn3
-1	15	-15	3	1	4	HO	HO2M02	1	2	15	3	4	7	0	H	3	9.04	5	top	1	10	6	1	724	100935	75	18	24	888	1	1	178	YB-2_S1	6	1	-2	S2F02_CR03_HTR05_Slot-t	RPC_YB-2_S1_Fib6_HO_CR03_HTR05_Slot-t	HO_S1_Hn4
-1	15	-15	2	1	4	HO	HO2M02	1	2	14	3	5	7	1	P	3	9.04	5	top	1	10	6	1	724	100935	74	18	25	889	1	2	178	YB-2_S1	6	2	-2	S2F02_CR03_HTR05_Slot-t	RPC_YB-2_S1_Fib6_HO_CR03_HTR05_Slot-t	HO_S1_Hn4
-1	15	-15	4	1	4	HO	HO2M02	1	2	16	3	3	7	2	B	3	9.04	5	top	1	10	6	1	724	100935	76	18	26	890	1	0	178	YB-2_S1	6	0	-2	S2F02_CR03_HTR05_Slot-t	RPC_YB-2_S1_Fib6_HO_CR03_HTR05_Slot-t	HO_S1_Hn4
-1	14	-14	4	1	4	HO	HO2M02	1	2	11	2	0	4	0	C	3	9.03	5	top	2	10	6	1	724	100928	148	18	27	891	1	3	178	YB-2_S1	6	3	-2	S2F02_CR03_HTR05_Slot-t	RPC_YB-2_S1_Fib6_HO_CR03_HTR05_Slot-t	HO_S1_Hn4
-1	14	-14	3	1	4	HO	HO2M02	1	2	6	2	1	4	1	J	3	9.03	5	top	2	10	6	1	724	100928	147	18	28	892	1	4	178	YB-2_S1	6	4	-2	S2F02_CR03_HTR05_Slot-t	RPC_YB-2_S1_Fib6_HO_CR03_HTR05_Slot-t	HO_S1_Hn4
-1	14	-14	2	1	4	HO	HO2M02	1	2	2	2	2	4	2	Q	3	9.03	5	top	2	10	6	1	724	100928	146	18	29	893	1	5	178	YB-2_S1	6	5	-2	S2F02_CR03_HTR05_Slot-t	RPC_YB-2_S1_Fib6_HO_CR03_HTR05_Slot-t	HO_S1_Hn4
-1	13	-13	3	1	4	HO	HO2M02	1	2	9	2	4	5	0	K	3	9.02	5	top	3	10	6	1	724	100928	219	18	30	894	1	7	178	YB-2_S1	6	7	-2	S2F02_CR03_HTR05_Slot-t	RPC_YB-2_S1_Fib6_HO_CR03_HTR05_Slot-t	HO_S1_Hn4
-1	13	-13	2	1	4	HO	HO2M02	1	2	13	2	5	5	1	R	3	9.02	5	top	3	10	6	1	724	100928	218	18	31	895	1	8	178	YB-2_S1	6	8	-2	S2F02_CR03_HTR05_Slot-t	RPC_YB-2_S1_Fib6_HO_CR03_HTR05_Slot-t	HO_S1_Hn4
-1	13	-13	4	1	4	HO	HO2M02	1	2	5	2	3	5	2	D	3	9.02	5	top	3	10	6	1	724	100928	220	18	32	896	1	6	178	YB-2_S1	6	6	-2	S2F02_CR03_HTR05_Slot-t	RPC_YB-2_S1_Fib6_HO_CR03_HTR05_Slot-t	HO_S1_Hn4
-1	12	-12	4	1	4	HO	HO2M02	1	2	12	1	0	2	0	E	3	9.01	5	top	4	10	6	1	724	100927	292	18	33	897	1	9	178	YB-2_S1	6	9	-2	S2F02_CR03_HTR05_Slot-t	RPC_YB-2_S1_Fib6_HO_CR03_HTR05_Slot-t	HO_S1_Hn4
-1	12	-12	3	1	4	HO	HO2M02	1	2	7	1	1	2	1	L	3	9.01	5	top	4	10	6	1	724	100927	291	18	34	898	1	10	178	YB-2_S1	6	10	-2	S2F02_CR03_HTR05_Slot-t	RPC_YB-2_S1_Fib6_HO_CR03_HTR05_Slot-t	HO_S1_Hn4
-1	12	-12	2	1	4	HO	HO2M02	1	2	3	1	2	2	2	S	3	9.01	5	top	4	10	6	1	724	100927	290	18	35	899	1	11	178	YB-2_S1	6	11	-2	S2F02_CR03_HTR05_Slot-t	RPC_YB-2_S1_Fib6_HO_CR03_HTR05_Slot-t	HO_S1_Hn4
-1	11	-11	3	1	4	HO	HO2M02	1	2	4	1	4	3	0	M	3	8.04	5	top	5	10	6	1	724	100927	363	18	36	900	1	13	178	YB-2_S1	6	13	-2	S2F02_CR03_HTR05_Slot-t	RPC_YB-2_S1_Fib6_HO_CR03_HTR05_Slot-t	HO_S1_Hn4
-1	11	-11	2	1	4	HO	HO2M02	1	2	8	1	5	3	1	T	3	8.04	5	top	5	10	6	1	724	100927	362	18	37	901	1	14	178	YB-2_S1	6	14	-2	S2F02_CR03_HTR05_Slot-t	RPC_YB-2_S1_Fib6_HO_CR03_HTR05_Slot-t	HO_S1_Hn4
-1	11	-11	4	1	4	HO	HO2M02	1	2	1	1	3	3	2	F	3	8.04	5	top	5	10	6	1	724	100927	364	18	38	902	1	12	178	YB-2_S1	6	12	-2	S2F02_CR03_HTR05_Slot-t	RPC_YB-2_S1_Fib6_HO_CR03_HTR05_Slot-t	HO_S1_Hn4
-1	15	-15	9	1	4	HO	HO2M02	2	3	15	3	4	7	0	H	3	9.12	6	top	1	10	8	1	724	100177	81	18	24	888	1	1	181	YB-2_S2	6	1	-2	S2F02_CR03_HTR06_Slot-t	RPC_YB-2_S2_Fib6_HO_CR03_HTR06_Slot-t	HO_S2_Hn1
-1	15	-15	10	1	4	HO	HO2M02	2	3	14	3	5	7	1	P	3	9.12	6	top	1	10	8	1	724	100177	82	18	25	889	1	2	181	YB-2_S2	6	2	-2	S2F02_CR03_HTR06_Slot-t	RPC_YB-2_S2_Fib6_HO_CR03_HTR06_Slot-t	HO_S2_Hn1
-1	15	-15	8	1	4	HO	HO2M02	2	3	16	3	3	7	2	B	3	9.12	6	top	1	10	8	1	724	100177	80	18	26	890	1	0	181	YB-2_S2	6	0	-2	S2F02_CR03_HTR06_Slot-t	RPC_YB-2_S2_Fib6_HO_CR03_HTR06_Slot-t	HO_S2_Hn1
-1	14	-14	8	1	4	HO	HO2M02	2	3	11	2	0	4	0	C	3	9.11	6	top	2	10	8	1	724	101168	152	18	27	891	1	3	181	YB-2_S2	6	3	-2	S2F02_CR03_HTR06_Slot-t	RPC_YB-2_S2_Fib6_HO_CR03_HTR06_Slot-t	HO_S2_Hn1
-1	14	-14	9	1	4	HO	HO2M02	2	3	6	2	1	4	1	J	3	9.11	6	top	2	10	8	1	724	101168	153	18	28	892	1	4	181	YB-2_S2	6	4	-2	S2F02_CR03_HTR06_Slot-t	RPC_YB-2_S2_Fib6_HO_CR03_HTR06_Slot-t	HO_S2_Hn1
-1	14	-14	10	1	4	HO	HO2M02	2	3	2	2	2	4	2	Q	3	9.11	6	top	2	10	8	1	724	101168	154	18	29	893	1	5	181	YB-2_S2	6	5	-2	S2F02_CR03_HTR06_Slot-t	RPC_YB-2_S2_Fib6_HO_CR03_HTR06_Slot-t	HO_S2_Hn1
-1	13	-13	9	1	4	HO	HO2M02	2	3	9	2	4	5	0	K	3	9.1	6	top	3	10	8	1	724	101168	225	18	30	894	1	7	181	YB-2_S2	6	7	-2	S2F02_CR03_HTR06_Slot-t	RPC_YB-2_S2_Fib6_HO_CR03_HTR06_Slot-t	HO_S2_Hn1
-1	13	-13	10	1	4	HO	HO2M02	2	3	13	2	5	5	1	R	3	9.1	6	top	3	10	8	1	724	101168	226	18	31	895	1	8	181	YB-2_S2	6	8	-2	S2F02_CR03_HTR06_Slot-t	RPC_YB-2_S2_Fib6_HO_CR03_HTR06_Slot-t	HO_S2_Hn1
